#AOCI-CODE-VOLUME: 1

===/Users/kdongnmt.edu/Desktop/mind canvas/代码_mindcanvas/===
.gitattributes[FV4T]: F:强制全仓文本以LF检出，二进制自动识别不改写 | R:- | A:- | S:Windows autocrlf 重写换行会让 AOCI 基线整树 stale
AIWorkbench.tsx[AA8L]: F:教师侧 AI 图形工作台：选型、文件解析、智能提炼、本地直转或 AI 生成、历史与导出、插入画布 | R:code:web/src/utils/markdownToDiagram.ts,code:web/src/utils/diagramApi.ts,code:web/src/utils/refineApi.ts,code:web/src/utils/parseFileApi.ts,code:web/src/components/canvas/AgentChatPanel.tsx | A:- | S:「if (!isTeacher) return null」夹在 hooks 中间，它后面还有 useEffect 与 useCallback——违反 hooks 规则，isTeacher 在同一次挂载内变化就会崩；生成按钮必须写成 () => handleGenerate()，直接传函数会把 MouseEvent 当成 forceAI，永远走 AI，本地直转失效；历史与草稿只存本浏览器 localStorage
AgentChatPanel.tsx[AA7M]: F:房间智能体对话面板：SSE 流式问答、历史恢复、冷启动欢迎卡片，以及把结构化回复转图插入画布 | R:code:web/src/utils/agentApi.ts,code:web/src/components/canvas/AIWorkbench.tsx,code:server/handlers/agent_handler.go | A:- | S:欢迎卡片只在这个房间还没有任何对话历史时拉一次，否则每次展开面板都要多打一次 AI；「生成图形」按钮只在 analyzeMarkdown 判定回复是结构化 Markdown 时才出现
CanvasEngine.tsx[IB9L]: F:Excalidraw 画布引擎：本地改动节流广播、远端合并、图片按 URL 上传与现拉，以及批量删除二次确认 | R:code:web/src/components/canvas/DeleteConfirmModal.tsx,code:server/handlers/scene_snapshot.go,code:web/src/store/canvasStore.ts,code:web/src/hooks/useImageUpload.ts,code:web/src/hooks/useWebSocket.ts | A:- | S:所有远端来源的 updateScene 必须显式带 captureUpdate NEVER——默认的 EVENTUALLY 会把同步进来的几百个元素和老师随手画的下一笔打包成同一条撤销记录，一次 Ctrl+Z 就能清空画布并广播成真实删除；恢复已删元素必须用 getSceneElementsIncludingDeleted，getSceneElements 不含已删元素故恢复不到；批量删除阈值 20 与 50% 要与服务端 scene_snapshot.go 一致
CanvasOverlay.tsx[AU6S]: F:画布 DOM 覆盖层：按类型渲染卡片与组件、教师拖拽把手，以及更新/删除/提交/点赞的消息发送 | R:code:web/src/components/canvas/FloatingWidgets.tsx,code:web/src/registry/WidgetRegistry.ts,code:web/src/components/cards/CardRenderer.tsx | A:- | S:widget_submit 的字段名必须是 action_type，写成 action 会让后端 switch 落到 default 把整条提交丢掉，教师端永远 0 票
DeleteConfirmModal.tsx[AU6T]: F:批量删除画布元素前的二次确认弹窗，展示待删数量与不可撤销提示 | R:code:web/src/components/canvas/CanvasEngine.tsx | A:- | S:用 React 内联 Modal 而不是 window.confirm，后者同步阻塞会冻住整页，协作画布上别人还在操作；zIndex 取 int32 最大值才盖得住 Excalidraw 自身图层
FloatingWidgets.tsx[AU8L]: F:互动组件浮层：按 zoom 等比缩放定位、教师拖拽与右下角缩放把手，并把 payload 归一成标准两层结构 | R:code:web/src/components/canvas/CanvasOverlay.tsx,code:server/services/widget_service.go,code:web/src/components/widgets/ShelfWidget.tsx,code:web/src/registry/WidgetRegistry.ts | A:- | S:OVERLAY_TYPES 是渲染白名单，shelf_widget 与 html_widget 都必须显式列进去，漏一个该组件能建库能广播却永远不出现在画布上；element_update 必须带 type，否则服务端展平嵌套时新坐标写不进外层、渲染读不到；ShelfWidget 单独走 onDelete，复用 onUpdate 会把 __delete 包进 payload 而失效

===/Users/kdongnmt.edu/Desktop/mind/web/src/components/cards/===
CardRenderer.tsx[AU6S]: F:卡片统一渲染器：按类型分发到文本与图片卡片，并提供统一外壳样式 | R:code:web/src/components/cards/TextCard.tsx,code:web/src/components/cards/ImageCard.tsx,code:web/src/components/canvas/CanvasOverlay.tsx | A:- | S:video_card 与 file_card 只渲染「开发中」占位，而 CanvasOverlay 的 CARD_TYPES 已把它们算作卡片，建出来就是这块占位；外壳背景色读 payload.bg_color，由 TextCard 的调色盘写入
ImageCard.tsx[AU5M]: F:图片卡片：加载骨架与失败兜底、双击编辑说明、点赞、全屏预览，教师可删 | R:code:web/src/components/cards/CardRenderer.tsx,code:web/src/hooks/useImageUpload.ts | A:- | S:只渲染 payload.url，本身不负责上传；说明文字失焦或回车才提交，Escape 回滚；全屏遮罩 z-index 为 9999，低于各创建弹窗的 int32 上限
TextCard.tsx[AU5M]: F:文本卡片：双击进入编辑、失焦保存、背景色调色盘、点赞与教师删除 | R:code:web/src/components/cards/CardRenderer.tsx,code:server/services/widget_service.go | A:- | S:编辑中不接受外部 payload.content 同步，避免别人改动打断本地输入；按键一律 stopPropagation，否则会触发 Excalidraw 快捷键；内容上限 2000 字

===/Users/kdongnmt.edu/Desktop/mind/web/src/components/share/===
SharePublishModal.tsx[AU7L]: F:发布分享弹窗：配置公开或密码、隐藏姓名与过期时间，发布后展示链接、复制与撤销 | R:code:server/services/share_service.go,code:server/handlers/share_handler.go,code:web/src/components/teacher/ControlPanel.tsx | A:- | S:表单里没有 show_canvas 开关，却恒以 true 提交，老师无法关掉画布快照；本弹窗 z-index 只有 100，其他画布弹窗用的是 int32 上限；密码模式留空表示沿用原密码

===/Users/kdongnmt.edu/Desktop/mind/web/src/components/teacher/===
ControlPanel.tsx[AU9L]: F:教师控制面板：场控、跟随与多人光标、主题、组件工具栏、成员与黑名单、学情、总结、导出、分享模板，与流程分组三页签 | R:code:web/src/components/teacher/MemberList.tsx,code:web/src/components/teacher/FlowController.tsx,code:web/src/components/teacher/FlowEditor.tsx,code:web/src/components/teacher/WidgetToolbar.tsx,code:web/src/components/teacher/BannedList.tsx,code:web/src/components/share/SharePublishModal.tsx | A:- | S:currentFlow 由 useEffect 按 roomId 调 getFlow 回填；onBan 与 BannedList 仅在 currentRoom.collab_mode==='roster' 时启用，匿名/团队房只留踢出加说明文字（封禁挂旧 guest uuid 封不住，BUG-050）；仍未传 onGatherOne，「召集此学生视角」不渲染；确认框用内联 ConfirmModal；跟随模式每 500ms 广播视口
FlowController.tsx[AW7M]: F:课中流程执行：加载与推进节点、跳转、结束、学生进度开关，并按节点切换画布模式 | R:code:web/src/components/teacher/FlowEditor.tsx,code:server/services/flow_service.go,code:web/src/utils/flowApi.ts | A:- | S:结束流程用的是 window.confirm，与面板其他确认框的内联 Modal 不一致；ws_flow_update 只在 flow_id 与当前一致时才重拉，换了流程就收不到
FlowEditor.tsx[AW7M]: F:课前流程编辑：节点增删排序、从教案大纲文字解析节点、学生进度开关与保存 | R:code:web/src/components/teacher/FlowNodeCard.tsx,code:server/services/flow_service.go,code:web/src/types/flow.ts | A:- | S:大纲解析按行切，去掉序号前缀后按关键词猜节点类型，标题截 40 字；existingFlow 为 null 就走 createFlow，而后端建新流程会把本房间旧的 draft/active 全部归档
FlowNodeCard.tsx[AW6M]: F:流程节点卡片：标题时长内联编辑、类型与进入模式选择、绑定互动组件、备注与学生可见开关 | R:code:web/src/components/teacher/FlowEditor.tsx,code:web/src/types/flow.ts | A:- | S:readOnly 用来禁用编辑与删除，但 FlowEditor 从不传它，进行中的流程节点照样能改能删；只有 interaction 类型才显示绑定组件区
GroupPanel.tsx[AB6M]: F:分组面板：列出小组与成员、手动建组删组、设组长，以及按组数或人数自动分组 | R:code:web/src/utils/groupApi.ts,code:configs/012_groups_v2.sql,code:web/src/store/roomStore.ts | A:- | S:自动分组的 8 秒超时只解除转圈并弹窗，请求本身没取消，迟到的响应仍会覆盖列表并关弹窗；删组与提示走 confirm/alert，与面板其他处的内联 Modal 不一致
InsightPanel.tsx[AA8L]: F:学情雷达面板：展开后每 10 秒轮询聚合数据，自带 ErrorBoundary 与防御性解析 | R:code:server/services/insight_service.go,code:server/handlers/insight_handler.go,code:web/src/components/teacher/ControlPanel.tsx | A:- | S:前端字段与 insight_service.go 对不上：组件读 type 后端发 widget_type；问答读 title/total_answers/correct_count/correct_rate 后端发 question/total/correct/rate；小组与 Top5 读 action_count 后端发 count；未提交按扁平学生数组读而后端按组件分组。处处兜底所以不报错，只是正确率恒 0%、次数恒 0、姓名恒空
MemberList.tsx[AU6M]: F:在线成员列表：头像昵称与角色标签，学生行带常驻菜单（召集视角/踢出/封禁） | R:code:web/src/components/teacher/ControlPanel.tsx,code:web/src/types/room.ts,code:server/ws/hub.go | A:- | S:教师身份只认服务端下发的 role，不能用「无 guest- 前缀即教师」推断——roster 实名学生拿的是裸稳定 UUID；onGatherOne 与 onBan 不传时对应菜单项直接不渲染
SummaryPanel.tsx[AA7L]: F:课堂总结面板：按需加载并展示投票、问答、词云、作品墙与参与统计，可导出 Markdown | R:code:server/services/export_service.go,code:server/handlers/room_handler.go,code:web/src/components/teacher/ControlPanel.tsx | A:- | S:/summary 返回的是裸 RoomSummary，没有 insight 那样的外层包裹，直接读字段；问答区的对勾靠 show_answer 与 correct_index，而后端算 correct_index 时取的键与建组件时写的不一致
WidgetToolbar.tsx[AB8M]: F:互动组件工具栏：按注册表出按钮、计算不重叠落位，并按类型走 element_create 或 REST 创建 | R:code:web/src/registry/WidgetRegistry.ts,code:web/src/components/widgets/PollingCreateModal.tsx,code:web/src/components/widgets/HtmlCreateModal.tsx,code:server/services/widget_service.go | A:- | S:handleCreatePolling 把 allowChange 写死 false，创建弹窗里的「允许改票」开关被丢掉永远不生效；问答写入的是 correctIdx，与 widget_service 判对错一致、与 export_service 读的 correct_answer 不一致；HTML 与 zip 课件不走 element_create，改 POST 到后端建元素再广播
BannedList.tsx[AU6S]: F:教师端黑名单列表：展开时拉取房间黑名单，逐条行内确认后解封 | R:code:web/src/components/teacher/ControlPanel.tsx,code:server/handlers/room_handler.go | A:GET /api/rooms/:id/banned-members,POST /api/rooms/:id/unban | S:仅展开态才拉取，refreshSignal 变化时同理；unban 请求体为 {target_uuid}；解封须行内二次确认（confirmingUuid），不用阻塞的 window.confirm

===/Users/kdongnmt.edu/Desktop/mind/web/src/components/widgets/===
DropZoneCreateModal.tsx[AB6M]: F:作品收集区创建弹窗：标题引导语、接受类型、提交单位与上限、截止时间、布局与三个开关 | R:code:web/src/components/widgets/DropZoneWidget.tsx,code:web/src/types/widget.ts,code:web/src/components/teacher/WidgetToolbar.tsx | A:- | S:deadline、requireDescription、submissionUnit、maxFileSizeMB 只写进 payload，服务端 HandleDropzoneSubmit 只看 status、acceptTypes 与 maxPerStudent，其余都没人执行
DropZoneWidget.tsx[AB8L]: F:作品收集区：教师控状态与筛选、标签置顶隐藏删除，学生提交文字图片文件链接，按布局展示 | R:code:server/services/widget_service.go,code:web/src/components/widgets/DropZoneCreateModal.tsx,code:configs/002_dropzone.sql | A:- | S:收到 ws_dropzone_update 广播时会把 msg.payload 交给 onUpdate，而 onUpdate 就是发 element_update——每条广播都会让每个客户端再发一次更新回去；图片上传已接入 FILE_LIMITS.IMAGE_MAX_SIZE（与 useImageUpload 统一 10MB，BUG-033），不看 maxFileSizeMB prop；提交列表只在挂载时拉一次，之后全靠广播增量
FallbackWidget.tsx[AU4T]: F:未注册组件类型的降级占位，显示提示与元素 id 前 8 位，避免白屏 | R:code:web/src/registry/WidgetRegistry.ts,code:web/src/components/canvas/FloatingWidgets.tsx | A:- | S:出现它就说明类型没进注册表或渲染白名单，数据其实正常
HtmlCreateModal.tsx[AB7M]: F:HTML 展示组件的创建与编辑弹窗：粘贴源码或上传 zip 课件包两个页签 | R:code:web/src/components/widgets/HtmlWidget.tsx,code:web/src/components/teacher/WidgetToolbar.tsx,code:configs/023_courseware.sql | A:- | S:源码上限 512KB、zip 上限 100MB，后者要与后端与 nginx 的 client_max_body_size 三处对齐；zip 导入的错误原样透出给老师，不吞成一句「导入失败」
HtmlWidget.tsx[IB8M]: F:HTML 课件展示：沙箱 iframe 渲染粘贴源码或 zip 课件、全屏播放、编辑与互动事件上报 | R:code:server/services/widget_service.go,code:configs/015_html_widget.sql,code:configs/023_courseware.sql,code:web/src/components/widgets/HtmlCreateModal.tsx | A:- | S:sandbox 只给 allow-scripts 绝不加 allow-same-origin，加了课件就能读本站 Cookie；zip 课件必须用 iframe src 而非 srcDoc——srcDoc 没有 base URL，课件里的相对路径资源全解析不了；事件来源校验用 e.source 等于本 iframe 的 contentWindow，zip 课件内部再套一层 iframe 时事件来自孙窗口会被静默丢弃
PollingCreateModal.tsx[AB6M]: F:创建投票弹窗：题目与 2-8 个选项、单多选、图表类型、匿名与改票开关、截止分钟数 | R:code:web/src/components/teacher/WidgetToolbar.tsx,code:web/src/components/widgets/PollingWidget.tsx | A:- | S:输入框同时挂 onChange/onInput/onBlur 并用 ref 兜底，防粘贴与自动填充丢值；提交时显式写 status:'draft' 与 is_open:false，让后端拿到明确状态而不是走缺省分支
PollingWidget.tsx[AB8L]: F:投票组件：教师控状态与图表切换、学生单多选投票，柱状饼图条形三种结果图 | R:code:server/services/widget_service.go,code:web/src/components/widgets/PollingCreateModal.tsx,code:web/src/store/widgetStore.ts | A:- | S:提交后不立即标记已投，要等服务端 ws_widget_vote_result 确认；确认没来时 3 秒只解除按钮禁用、不给任何提示；deadline 只在本组件倒计时里生效，服务端 HandleVote 只看 status，过了截止时间的请求照样写得进去
QACreateModal.tsx[AB6M]: F:问答题创建弹窗：题干、2-6 个选项、必选正确答案与可选解析，portal 到 body 顶层 | R:code:web/src/components/widgets/QAWidget.tsx,code:web/src/components/teacher/WidgetToolbar.tsx,code:web/src/components/canvas/FloatingWidgets.tsx | A:- | S:确认时优先读 DOM ref 的 value、state 只作后备，每个输入都同时挂 onChange+onInput+onBlur——输入法与粘贴下 onChange 可能不触发；删选项会把 correctIdx 前移或清空
QAWidget.tsx[AB8M]: F:问答组件：教师开始结束、公布结果与解析并看各选项统计，学生选项作答与对错反馈 | R:code:server/services/widget_service.go,code:web/src/components/widgets/QACreateModal.tsx,code:web/src/store/widgetStore.ts,code:web/src/hooks/useWebSocket.ts,code:web/src/components/canvas/FloatingWidgets.tsx | A:- | S:selected 现从 myAnswerSubmissions[id] 回填 choice_idx，刷新后能恢复已选项而非只恢复已提交标记；已监听 ws_widget_vote_result 做 markSubmitted/失败清空 selected；onUpdate 须传 {...inner,变更} 否则套成三层
ShelfCreateModal.tsx[AB6S]: F:协作墙创建弹窗：标题、必填主题文字、可选配图与参考链接、文字图片链接三种回复类型开关 | R:code:web/src/components/widgets/ShelfWidget.tsx,code:web/src/hooks/useImageUpload.ts,code:web/src/components/teacher/WidgetToolbar.tsx | A:- | S:配图是真上传后只存 URL，上传未完成点创建会被拦；校验一律 window.alert；不产出分组或可见性字段，回复默认互相可见
ShelfWidget.tsx[AB8L]: F:协作墙：顶部主题区教师可编辑，学生按允许类型发文字图片链接回复，卡片按作者 uuid 取底色 | R:code:server/handlers/shelf_handler.go,code:web/src/components/widgets/ShelfCreateModal.tsx,code:web/src/components/canvas/FloatingWidgets.tsx,code:web/src/hooks/useImageUpload.ts,code:web/src/hooks/useWebSocket.ts | A:- | S:FloatingWidgets 没有传 studentName，学生回复一律以空 author_name 发出、显示成「匿名」；删除整墙必须用单独的 onDelete，复用 onUpdate({__delete:true}) 会被包进 payload 而失效；卡片增删靠 ws_shelf 事件增量更新，只在挂载时全量拉一次
WordCloudCreateModal.tsx[AB6S]: F:词云创建弹窗：引导语、每人最多 1-5 个词、匿名展示开关 | R:code:web/src/components/widgets/WordCloudWidget.tsx,code:web/src/components/teacher/WidgetToolbar.tsx | A:- | S:引导语优先读 DOM ref、state 作后备并挂 onInput+onBlur 兼容输入法与粘贴；不写 status 字段，组件按缺省当 draft
WordCloudWidget.tsx[AB8L]: F:词云：螺旋布局 SVG 最多排 40 词并按词频调字号，教师开始暂停结束，学生逐词提交 | R:code:server/services/widget_service.go,code:web/src/store/widgetStore.ts,code:web/src/hooks/useWebSocket.ts,code:web/src/components/widgets/WordCloudCreateModal.tsx | A:- | S:本人已提交的词读 widgetStore.myWordSubmissions（room_sync 写入）而非监听事件，避免组件挂载晚于消息就永远收不到；该补齐只在本地 myWords 为空时生效；提交是乐观追加，服务端拒绝不回滚；超过 40 词的部分强制堆到底部

===/Users/kdongnmt.edu/Desktop/mind/web/src/hooks/===
useAuth.ts[AI6T]: F:认证 Hook：登录、登出、刷新后 checkAuth 恢复会话，并派生 isSuperAdmin/isAdmin/isTeacher | R:code:web/src/store/authStore.ts,code:server/handlers/auth_handler.go,code:web/src/types/user.ts,code:web/src/pages/AdminPage.tsx | A:- | S:全部请求靠 credentials:'include' 带 Cookie，不发 Authorization 头；checkAuth 只要非 200 或抛异常就 clearUser，网络抖动会被当成未登录
useImageUpload.ts[IN6S]: F:图片上传 Hook：XHR 带进度传 /api/upload/image，教师走 Cookie、学生附 guest uuid 查询参数 | R:code:server/handlers/upload_handler.go,code:web/src/components/canvas/CanvasEngine.tsx,code:web/src/components/widgets/ShelfWidget.tsx,code:web/src/components/widgets/ShelfCreateModal.tsx | A:- | S:前端卡 FILE_LIMITS.IMAGE_MAX_SIZE（10MB，已与 DropZoneWidget 统一，BUG-033）与 JPEG/PNG/GIF/WebP 白名单；学生身份取 localStorage 里 guest- 前缀的 mc_uuid；超时 30s
useWebSocket.ts[IN9L]: F:房间 WebSocket 总线：心跳、退避重连、离线待发队列，把各类消息分发进 room/canvas/widget store 或 window 自定义事件 | R:code:server/handlers/ws_handler.go,code:server/ws/message.go,code:web/src/store/roomStore.ts,code:web/src/store/widgetStore.ts,code:web/src/store/canvasStore.ts,code:web/src/pages/RoomPage.tsx,code:web/src/utils/constants.ts,code:web/src/utils/wsContracts.ts | A:- | S:room_sync 的 room 经 extractSyncedRoom 读顶层 msg.room，my_answer_submissions 写入 widgetStore.setMyAnswerSubmissions；member_profile_updated 合并进 roomStore 成员并派发 ws_member_profile_updated；ctrl_kick 用 sessionStorage 记原因后跳 /join；onclose 关闭码 4001 不重连并回 /join；超过 MAX_RETRY 置 error 永久停止；离线队列上限 50 条静默丢弃；widget_update 由 interpretWidgetUpdate 判定：payload 已是两层结构须原样交 store，仅 from 等于本人才派发提交确认

===/Users/kdongnmt.edu/Desktop/mind/web/src/i18n/===
en.json[FL3S]: F:英文文案资源，app/auth/room/canvas/card/control/widget/student/export/common 十个命名空间共 92 键 | R:code:web/src/i18n/index.ts,code:web/src/i18n/zh.json | A:- | S:与 zh.json 键集完全一致，加词条要两边同步
index.ts[CL5T]: F:i18next 初始化：内联打包 zh/en 资源、浏览器语言检测、React 绑定 | R:code:web/src/i18n/zh.json,code:web/src/i18n/en.json,code:web/src/main.tsx | A:- | S:检测顺序 localStorage→navigator 并写回 localStorage，fallbackLng 恒为 zh；资源内联不发网络请求；escapeValue 关闭，靠 React 自身转义
zh.json[FL3S]: F:中文文案资源，十个命名空间共 92 键，是 fallbackLng 兜底语言 | R:code:web/src/i18n/index.ts,code:web/src/i18n/en.json | A:- | S:全仓只有 9 个文件调 useTranslation，其余页面写死中文，改这里波及面很小

===/Users/kdongnmt.edu/Desktop/mind/web/src/pages/===
AdminPage.tsx[AI8L]: F:管理后台：租户增改启禁、用户创建与启禁、AI 对话与智能体权限开关、按教师的房间统计与展开明细 | R:code:server/handlers/admin_handler.go,code:web/src/hooks/useAuth.ts,code:web/src/pages/DashboardPage.tsx | A:- | S:房间统计排序只在前端对已取回数组做，无分页；导出 CSV 已带当前机构筛选 tenant_id（BUG-041）；创建用户密码框已是 type=password；两权限开关与启禁失败均走 showToast，不再阻塞 alert
AssignmentDetailPage.tsx[AB9L]: F:作业详情页：材料上传解析、Rubric 生成编辑确认、提交列表、作业码与花名册、讲评报告四个子页签 | R:code:web/src/utils/assignmentApi.ts,code:web/src/utils/tokenApi.ts,code:server/handlers/assignment_handler.go,code:server/handlers/lecture_handler.go,code:server/handlers/token_handler.go,code:web/src/utils/canvasHandoff.ts,code:web/src/utils/lectureExport.ts | A:- | S:整页包在文件内自定义的 ErrorBoundary 里，渲染报错显示详情而非白屏；「插入课堂画布」不调接口，而是 stashCanvasInsert 写浏览器暂存后跳 /room/:id 由房间页取走；同步花名册与插入画布都要求先设 assignment.room_id，未关联直接拦；作业码分通用码（学生填姓名，最多 100 个）与专属码（按花名册一人一码）；学生提交入口 https://mindcanvas.com.cn/submit 写死在页面里；讲评分析要求至少一份文字提交
AssignmentPage.tsx[AB6M]: F:作业列表页：按 room_id 过滤列出作业、创建作业（可关联课堂）、删除并进入详情 | R:code:web/src/utils/assignmentApi.ts,code:web/src/types/assignment.ts,code:web/src/utils/roomApi.ts,code:web/src/pages/AssignmentDetailPage.tsx | A:- | S:房间列表只在打开创建弹窗时才拉，失败静默退化成「不关联」不阻断创建；room_id 从 query 带入，既是列表过滤条件也是新建默认值
ChatPage.tsx[AA8L]: F:AI 伴侣对话页：多会话增删、人设与记忆整理频率、记忆文件库上传启停、六套手账主题切换 | R:code:server/handlers/chat_handler.go,code:server/handlers/chat_handler_patch.go,code:web/src/store/authStore.ts,code:web/src/pages/DashboardPage.tsx | A:- | S:记忆摘要用阻塞 alert 展示；配色大量走内联 style（超百处），不接入 index.css 令牌；主题选择持久化在 localStorage victoria_theme；persona.api_key_hint 仅类型声明未见渲染，密钥不在前端处理
ClassesPage.tsx[AB6L]: F:班级管理页：建班删班与花名册维护（单个添加、粘名批量导入、删除），同名靠消歧字段区分 | R:code:web/src/utils/classApi.ts,code:server/handlers/class_handler.go,code:configs/019_classes_roster.sql,code:web/src/pages/DashboardPage.tsx | A:- | S:导入按行切分，行内用「名字|消歧」，重复名字后端跳过并回报 skipped；删班连花名册一起删、关联房间自动解绑；增删改后要重拉班级列表才能刷新学生数
DashboardPage.tsx[AU8L]: F:教师主页：房间列表创建编辑删除、模板中心、个人设置与头像，以及作业/班级/AI对话/管理后台入口 | R:code:server/handlers/room_handler.go,code:server/handlers/share_handler.go,code:web/src/utils/classApi.ts,code:web/src/types/room.ts,code:web/src/hooks/useAuth.ts | A:- | S:删房间先不带 confirm 试探，服务端 409 带影响面再弹二次确认，作业保留、zip 课件包一并删；删模板已同时注册 DELETE /api/templates/:id 与 /api/rooms/:id/templates/:tid 共用同一 handler（BUG-027 已修）；建房弹窗打开才懒加载班级列表；改密码成功后强制登出重登
JoinPage.tsx[EU8L]: F:学生入场页：房间码加昵称加头像（可拍照上传并裁成 200x200）入场，实名房重名时二选一 | R:code:server/handlers/guest_handler.go,code:server/handlers/upload_handler.go,code:web/src/utils/constants.ts,code:web/src/pages/RoomPage.tsx | A:- | S:入场态全存 localStorage 的 mc_uuid/mc_nickname/mc_room_id/mc_avatar_id/mc_avatar_url，清缓存即丢身份；头像先 Canvas 裁中心正方形再传，限 2MB；实名房重名时后端不入场只回 need_disambig 与候选，选中后带 student_id 重提；键盘弹出靠 window.innerHeight 掉 150px 判定
LoginPage.tsx[EI6S]: F:教师登录页：用户名密码登录、密码明暗切换，并给学生留免账号入场入口 | R:code:web/src/hooks/useAuth.ts,code:web/src/pages/JoinPage.tsx,code:web/src/i18n/zh.json | A:- | S:登录成功统一跳 /dashboard 不按角色分流；表单文案走 t()，但学生入口那两行是写死中文
RoomPage.tsx[AU9L]: F:课堂房间页：画布与浮层组件、教师控制面板与 AI 工作台、成员浮层、分享二维码、学生端状态横幅与改名 | R:code:web/src/hooks/useWebSocket.ts,code:web/src/components/canvas/CanvasEngine.tsx,code:web/src/components/canvas/FloatingWidgets.tsx,code:web/src/components/teacher/ControlPanel.tsx,code:web/src/components/canvas/AIWorkbench.tsx,code:web/src/store/roomStore.ts,code:web/src/utils/canvasHandoff.ts,code:web/src/utils/wsContracts.ts | A:- | S:教师还是学生只看 URL 有没有 ?uuid，教师自己带上就被降权成学生；学生端不请求房间接口，本地伪造 room 对象（title 初值「课堂」），真实 title/锁定/只读靠 room_sync 顶层 room（经 extractSyncedRoom 读取）合并覆盖；EditProfileModal 保存走 onSend('update_profile') 广播落库；插入讲评要点用 250ms 轮询等 excalidrawAPI，最多 10 秒
SharePage.tsx[EB6L]: F:公开只读成果页：投票问答词云与作品收集的汇总展示，支持密码访问与过期提示 | R:code:server/handlers/share_handler.go,code:server/services/share_service.go,code:web/src/components/share/SharePublishModal.tsx | A:- | S:密码走 X-Share-Password 请求头不走 body，401 带 need_password 才转密码页、410 判过期；全页只读无任何写接口；数组字段渲染前一律 Array.isArray 兜底
SubmitPage.tsx[EB8L]: F:学生作业提交页（免登录）：验作业码、填姓名、文字文件链接三选一提交，并回看教师反馈与补救练习 | R:code:web/src/utils/tokenApi.ts,code:server/handlers/token_handler.go,code:server/handlers/remediation_handler.go,code:web/src/types/token.ts | A:- | S:通用码靠 localStorage 的 submit_uuid_作业id 认人——同一浏览器换个人提交会被当成同一个学生，清缓存则再也看不到反馈；文件上传把身份放在 X-Student-UUID 头；反馈取的是补救接口（token 加 uuid 双证），老师没发就静默显示暂无而不报错

===/Users/kdongnmt.edu/Desktop/mind/web/src/registry/===
WidgetRegistry.ts[CE7S]: F:画布互动组件注册中心：type 到组件与元数据两张表，提供取组件、取元数据、取默认 payload | R:code:web/src/registry/widgetRegister.ts,code:web/src/components/canvas/FloatingWidgets.tsx,code:web/src/components/teacher/WidgetToolbar.tsx,code:web/src/types/widget.ts | A:- | S:getComponent 未注册返回 null，由调用方降级到 FallbackWidget；协作墙虽已注册，但 FloatingWidgets 查注册表前就特判渲染，注册项只用于工具栏元数据
widgetRegister.ts[FE7S]: F:启动时把投票、词云、问答、作品收集、协作墙、HTML 展示六个组件连同默认 payload 注册进 WidgetRegistry | R:code:web/src/registry/WidgetRegistry.ts,code:web/src/main.tsx,code:web/src/components/teacher/WidgetToolbar.tsx | A:- | S:新增组件的唯一登记处，漏登记就落到 FallbackWidget；作品收集 insertable:false 只渲染存量房间、不进插入工具栏；协作墙 description 写「分组栏目式」，组件实际是主题加回复不分组

===/Users/kdongnmt.edu/Desktop/mind/web/src/store/===
authStore.ts[CI6T]: F:认证状态：user、isAuthenticated、loading 与三个角色判断方法 | R:code:web/src/hooks/useAuth.ts,code:web/src/types/user.ts,code:web/src/App.tsx | A:- | S:loading 初值为 true，要等 checkAuth 跑完才变 false，路由守卫据此避免刷新瞬间误判未登录；不存 token，认证全靠 HttpOnly Cookie
canvasStore.ts[CD6T]: F:画布状态：变换、当前工具、excalidrawAPI 引用、小地图、主题与背景色、跟随模式 | R:code:web/src/components/canvas/CanvasEngine.tsx,code:web/src/pages/RoomPage.tsx,code:web/src/types/canvas.ts | A:- | S:ThemeMode 只有 light 一个取值，暗色主题未实现（背景色预设里仍留着深色项）；setExcalidrawAPI 会顺带把 isReady 置 true，别处都靠它判断画布可用
roomStore.ts[CD8S]: F:房间状态：房间信息、元素列表、成员、锁定只读、连接状态与多用户光标 | R:code:web/src/hooks/useWebSocket.ts,code:web/src/pages/RoomPage.tsx,code:web/src/types/room.ts,code:web/src/types/canvas.ts | A:- | S:updateElement 只在 payload 顶层浅合并，嵌套对象整块替换；removeElement 直接从数组剔除而非置 is_deleted；setCurrentRoom 会顺带用 room 的值覆盖锁定与只读；addElement 与 addMember 按 id、uuid 先删后加去重，会把该项挪到数组末尾
widgetStore.ts[CD7T]: F:互动组件状态：正在创建的类型、已提交组件集合、选中与编辑中的组件、本人词云与问答提交记录 | R:code:web/src/hooks/useWebSocket.ts,code:web/src/components/widgets/PollingWidget.tsx,code:web/src/components/widgets/WordCloudWidget.tsx,code:web/src/components/widgets/QAWidget.tsx | A:- | S:无持久化，刷新或断线重连后已提交状态全清，靠 room_sync 的 my_word_submissions/my_answer_submissions 补回；两者均是合并写入而非覆盖

===/Users/kdongnmt.edu/Desktop/mind/web/src/types/===
